P1 Avg. Speak,P2 Avg. Speak,P1 Avg. Rank,P2 Avg. Rank,P1 W:L,P2 W:L,P3 Avg. Speak,P4 Avg. Speak,P3 Avg. Rank,P4 Avg. Rank,P3 W:L,P4 W:L,Winner G/O
30.3,31.0,2.5,1.2,4.0,4.0,30.35,28.17,2.03,2.8,1.83,1.0,G
30.3,31.0,2.5,1.2,4.0,4.0,29.78,27.0,1.78,3.0,2.0,1.5,O
30.3,31.0,2.5,1.2,4.0,4.0,29.47,26.78,2.12,2.44,1.29,0.5,G
24.71,26.58,3.43,3.05,0.27,0.46,26.0,27.8,3.33,2.3,0.29,0.43,O
25.14,26.15,3.36,2.62,0.17,0.18,26.0,26.29,2.67,3.71,0.0,0.0,G
26.67,26.5,2.5,3.43,0.5,0.4,26.5,27.33,3.25,2.67,0.2,0.2,G
27.93,26.7,2.36,3.2,0.56,0.43,26.0,27.8,3.33,2.3,0.29,0.43,G
27.93,26.7,2.36,3.2,0.56,0.43,24.62,26.2,3.38,3.0,0.32,0.25,O
29.47,31.47,2.2,1.6,1.5,4.0,24.71,26.58,3.43,3.05,0.27,0.46,O
29.47,31.47,2.2,1.6,1.5,4.0,28.6,28.52,2.2,2.68,1.5,1.5,G
29.47,31.47,2.2,1.6,1.5,4.0,27.8,27.0,2.4,3.4,0.67,0.67,G
29.47,31.47,2.2,1.6,1.5,4.0,29.73,28.23,1.8,2.67,1.14,1.0,G
29.58,30.0,2.29,2.41,1.4,1.9,28.11,27.58,2.11,2.62,1.38,1.0,O
29.58,30.0,2.29,2.41,1.4,1.9,29.56,30.86,2.38,1.61,1.0,2.5,O
29.58,30.0,2.29,2.41,1.4,1.9,26.07,27.58,2.79,2.92,0.56,0.6,G
28.11,28.79,2.16,2.29,1.71,1.0,26.67,26.5,2.5,3.43,0.5,0.4,G
28.11,28.79,2.16,2.29,1.71,1.0,24.62,26.2,3.38,3.0,0.32,0.25,O
28.11,28.79,2.16,2.29,1.71,1.0,27.8,27.0,2.4,3.4,0.67,0.67,G
29.55,29.59,1.83,2.24,1.64,1.83,29.68,29.44,2.6,1.88,1.35,1.78,G
29.55,29.59,1.83,2.24,1.64,1.83,25.5,26.0,3.0,2.5,1.0,1.0,G
28.38,26.75,1.85,2.0,1.6,3.0,28.47,26.68,2.16,3.28,0.73,0.56,G
28.38,26.75,1.85,2.0,1.6,3.0,29.68,29.44,2.6,1.88,1.35,1.78,O
28.38,26.75,1.85,2.0,1.6,3.0,29.55,29.59,1.83,2.24,1.64,1.83,G
31.02,32.24,2.62,1.24,5.67,6.5,27.8,27.9,2.87,2.8,0.67,1.0,G
31.02,32.24,2.62,1.24,5.67,6.5,28.4,28.55,1.93,2.35,1.14,0.67,G
31.02,32.24,2.62,1.24,5.67,6.5,28.32,29.4,2.33,2.27,0.9,1.14,O
31.02,32.24,2.62,1.24,5.67,6.5,29.73,28.23,1.8,2.67,1.14,1.0,O
29.3,29.29,2.4,2.5,1.5,1.8,29.0,27.0,2.42,2.75,0.5,0.33,G
29.3,29.29,2.4,2.5,1.5,1.8,24.0,24.67,3.33,2.78,0.09,0.12,O
29.47,28.13,1.97,3.07,1.31,1.5,29.78,27.0,1.78,3.0,2.0,1.5,O
29.47,28.13,1.97,3.07,1.31,1.5,26.07,27.58,2.79,2.92,0.56,0.6,G
29.47,28.13,1.97,3.07,1.31,1.5,28.2,29.47,2.6,2.18,1.0,1.0,O
27.8,27.0,2.4,3.4,0.67,0.67,27.93,26.7,2.36,3.2,0.56,0.43,O
31.53,30.44,2.0,1.87,6.5,2.9,28.21,26.64,2.05,3.21,0.73,0.56,G
31.53,30.44,2.0,1.87,6.5,2.9,29.1,29.1,2.6,3.0,0.67,1.5,G
31.53,30.44,2.0,1.87,6.5,2.9,30.73,30.79,2.07,1.97,4.0,2.62,O
31.53,30.44,2.0,1.87,6.5,2.9,29.8,31.12,1.7,1.76,2.33,4.0,G
29.6,29.15,2.5,2.62,1.5,1.6,28.93,27.8,2.4,3.2,1.73,0.67,O
29.6,29.15,2.5,2.62,1.5,1.6,29.16,29.0,1.84,2.47,0.9,1.11,O
29.6,29.15,2.5,2.62,1.5,1.6,28.32,29.4,2.33,2.27,0.9,1.14,G
28.25,28.29,2.0,2.43,3.0,1.0,27.9,26.9,2.7,3.1,1.0,0.43,O
28.25,28.29,2.0,2.43,3.0,1.0,28.6,29.4,2.6,2.07,0.67,1.5,O
28.25,28.29,2.0,2.43,3.0,1.0,28.32,29.4,2.33,2.27,0.9,1.14,G
29.0,27.0,2.42,2.75,0.5,0.33,26.67,26.5,2.5,3.43,0.5,0.4,G
29.37,30.07,2.32,2.02,2.17,1.69,28.11,27.58,2.11,2.62,1.38,1.0,G
29.37,30.07,2.32,2.02,2.17,1.69,27.8,27.9,2.87,2.8,0.67,1.0,O
29.37,30.07,2.32,2.02,2.17,1.69,29.1,29.1,2.6,3.0,0.67,1.5,G
28.2,29.47,2.6,2.18,1.0,1.0,26.0,27.8,3.33,2.3,0.29,0.43,O
28.2,29.47,2.6,2.18,1.0,1.0,25.33,27.0,3.67,2.75,0.29,0.33,G
29.0,28.98,2.6,2.38,1.5,1.35,24.0,24.67,3.33,2.78,0.09,0.12,G
29.0,28.98,2.6,2.38,1.5,1.35,26.3,25.5,2.1,2.96,1.0,0.5,G
29.0,28.98,2.6,2.38,1.5,1.35,24.97,27.8,3.62,3.0,0.33,0.67,G
31.0,30.57,1.86,2.24,2.5,2.38,28.6,29.4,2.6,2.07,0.67,1.5,G
31.0,30.57,1.86,2.24,2.5,2.38,29.58,30.0,2.29,2.41,1.4,1.9,O
31.0,30.57,1.86,2.24,2.5,2.38,29.37,30.07,2.32,2.02,2.17,1.69,G
31.0,30.57,1.86,2.24,2.5,2.38,29.6,29.15,2.5,2.62,1.5,1.6,O
28.47,26.68,2.16,3.28,0.73,0.56,26.0,27.8,3.33,2.3,0.29,0.43,O
28.21,26.64,2.05,3.21,0.73,0.56,25.0,25.0,3.0,3.0,0.0,0.0,G
28.21,26.64,2.05,3.21,0.73,0.56,28.13,28.16,2.13,2.68,0.88,0.58,G
28.11,27.58,2.11,2.62,1.38,1.0,26.5,27.33,3.25,2.67,0.2,0.2,O
28.11,27.58,2.11,2.62,1.38,1.0,27.9,26.9,2.7,3.1,1.0,0.43,G
